LS5yr,LS5day,ls5NDVI,LS7offyr,LS7offday,LS7offNDVI
2011,15,1518,2011,14,1302
2011,22,1480,2011,23,1275
2011,31,1454,2011,30,1147.5
2011,38,1439,2011,39,1264
2011,47,1432,2011,46,1270
2011,63,1419,2011,62,1206
2011,70,1364,2011,71,1210
2011,79,1441,2011,78,1242
2011,86,1409,2011,87,1188
2011,95,1336,2011,94,1193
2011,102,1327,2011,103,1131
2011,111,1341,2011,110,1200
2011,118,1382,2011,119,1199
2011,127,1397,2011,126,1231
2011,134,1381,2011,135,1155
2011,143,1349,2011,142,1191
2011,150,1388,2011,151,944
2011,159,1380,2011,158,1193
2011,166,1364,2011,167,1197
2011,175,1306,2011,174,1180
2011,182,1376,2011,183,1162
2011,191,1427,2011,190,1176
2011,198,1503,2011,199,1120
2011,214,3844,2011,215,3364
2011,230,2821,2011,231,2641
2011,239,2685,2011,238,2798
2011,246,2429,2011,247,2178
2011,262,2915,2011,263,2731.5
2011,271,2594.5,2011,270,2093
2011,278,2512,2011,279,2183
2011,287,2174,2011,286,2073
2011,294,2086,2011,295,1849
2011,303,1936,2011,302,1810
2011,310,1639,2011,311,1678
2011,319,1811,2011,318,1405.5
